gsa_source,gsa_target,spillover_weight
223,23,90811.41146738392
223,231,90804.2439107171
223,237,90811.41146738392
223,238,88621.27902722513
223,269,90811.41146738392
223,271,90811.41146738392
223,298,90809.6293590764
223,30,90811.41146738392
223,301,90811.41146738392
223,302,90811.41146738392
223,308,90807.1955561476
223,360,90811.41146738392
223,57,90811.41146738392
223,62,90811.41146738392
223,66,90811.41146738392
223,67,90811.41146738392
223,70,72399.26639653463
223,71,90811.41146738392
224,116,82490.60148165036
224,137,82490.19865032798
224,140,82490.60148165036
224,142,82486.05479034371
224,151,82490.60148165036
224,152,82490.60148165036
224,159,82490.49498250103
224,183,82467.62601575343
224,189,82490.60148165036
224,201,82489.48688825034
224,208,82480.65832667564
224,228,82481.68700358826
224,249,82489.78714732871
224,288,82488.97554803023
224,389,82490.59697337686
224,91,82490.60148165036
224,99,82490.60148165036
225,10,56546.57390966234
225,13,56546.57390966234
225,17,56546.57390966234
225,206,56546.57390966234
225,214,56538.52145408328
225,220,56530.51770303224
225,23,56546.57390966234
225,231,56537.93728019157
225,237,56546.57390966234
225,269,56546.57390966234
225,271,56546.57390966234
225,298,56541.29045101763
225,30,56546.57390966234
225,301,56546.57390966234
225,302,56546.57390966234
225,308,56539.77507914277
225,360,56546.57390966234
225,57,56546.57390966234
225,62,56546.57390966234
225,66,56546.57390966234
225,67,56546.57390966234
225,70,45078.34663194687
225,71,56546.57390966234
226,25,6172.003516231309
226,29,6171.977652650149
226,42,6172.003516231309
226,43,6172.003516231309
226,470,6172.003516231309
226,490,6171.842252242583
226,518,6169.346643404513
226,528,6172.003516231309
226,530,6172.003516231309
226,537,6172.003516231309
226,538,6172.003516231309
226,541,6168.860019444561
226,544,6172.003516231309
226,545,6172.003516231309
228,155,64744.27685916005
228,160,64744.27685916005
228,182,64744.27685916005
228,193,64744.27685916005
228,312,64743.97222939028
228,496,64744.27685916005
228,97,64744.27685916005
23,146,57686.25274063531
23,149,57686.805565663526
23,157,57691.03516717476
23,224,57691.03516717476
23,252,57691.03516717476
23,259,57690.79385007396
23,265,57691.03516717476
23,286,57684.934144581486
23,289,57691.03516717476
23,299,57691.03516717476
23,343,57676.51879451832
23,463,57691.03516717476
231,146,57679.27702847943
231,149,57679.27702847943
231,157,57679.27702847943
231,224,57679.27702847943
231,252,57679.27702847943
231,259,57679.27702847943
231,265,57679.27702847943
231,286,57679.27702847943
231,289,57679.27702847943
231,299,57679.27702847943
231,343,57676.51879451832
231,463,57679.27702847943
237,146,57686.25274063531
237,149,57686.805565663526
237,157,57691.57582766995
237,224,57691.57582766995
237,252,57691.57582766995
237,259,57690.79385007396
237,265,57691.57582766995
237,286,57684.934144581486
237,289,57691.57582766995
237,299,57691.57582766995
237,343,57676.51879451832
237,463,57691.57582766995
238,10,56546.57635880528
238,13,56546.57635880528
238,17,56546.57635880528
238,206,56546.57635880528
238,214,56538.52145408328
238,220,56530.51770303224
238,23,56546.57635880528
238,231,56537.93728019157
238,237,56546.57635880528
238,269,56546.57635880528
238,271,56546.57635880528
238,298,56541.29045101763
238,30,56546.57635880528
238,301,56546.57635880528
238,302,56546.57635880528
238,308,56539.77507914277
238,360,56546.57635880528
238,57,56546.57635880528
238,62,56546.57635880528
238,66,56546.57635880528
