gsp_id,year,mean_subsidence_ft,n_points
26,2017,-0.1004,3124
26,2018,0.2099,2758
26,2019,-0.1468,2723
26,2020,-0.1077,3259
26,2021,0.0875,3208
26,2022,0.0619,3133
26,2023,0.28,3215
26,2024,0.1128,3413
28,2016,1.032,5309
28,2017,0.8246,5030
28,2018,0.824,3502
28,2019,0.992,3200
28,2020,1.4018,5866
28,2021,1.6557,5955
28,2022,-0.4591,5124
28,2023,0.5988,11561
28,2024,0.8978,17069
31,2016,0.9879,1231
31,2017,0.8343,1169
31,2018,0.7672,845
31,2019,1.697,791
31,2020,2.1493,1817
31,2021,2.4173,1626
31,2022,-1.8188,1331
31,2023,0.2548,2643
31,2024,0.6915,3625
32,2016,0.1245,2677
32,2017,-0.055,2611
32,2018,0.1525,2246
32,2019,-0.0659,2204
32,2020,-0.1878,2864
32,2021,-0.0574,2968
32,2022,-0.0313,2707
32,2023,0.1191,2102
32,2024,-0.0779,2216
38,2016,0.3497,5264
38,2017,0.0956,4911
38,2018,0.3283,3730
38,2019,0.345,3294
38,2020,0.7755,7227
38,2021,0.9969,7553
38,2022,-0.6749,6138
38,2023,0.2666,8075
38,2024,0.4474,10169
42,2016,0.6536,62434
42,2017,1.9265,59933
42,2018,0.6428,49338
42,2019,1.5202,47640
42,2020,2.4512,79984
42,2021,2.0711,75576
42,2022,-1.0184,64570
42,2023,0.3568,58991
42,2024,1.4973,90117
43,2016,0.5411,24986
43,2017,0.5522,23854
43,2018,0.4562,17426
43,2019,0.3905,15964
43,2020,0.6007,27566
43,2021,0.5927,20257
43,2022,-0.3475,16710
43,2023,0.431,26796
43,2024,0.4652,33549
45,2016,0.9181,356
45,2017,0.8306,320
45,2018,0.827,164
45,2019,0.857,134
45,2020,0.7668,655
45,2021,0.8098,591
45,2022,-0.4065,475
45,2023,1.0561,1116
45,2024,1.0965,1698
47,2016,0.1356,85349
47,2017,-0.0325,82151
47,2018,0.2077,66473
47,2019,-0.0177,61921
47,2020,0.1301,86105
47,2021,0.1468,79521
47,2022,-0.0209,59258
47,2023,0.1384,108779
47,2024,0.188,145941
48,2016,1.3406,2078
48,2017,3.0619,1978
48,2018,1.4416,1589
48,2019,2.4891,1471
48,2020,3.167,2853
48,2021,3.0792,2703
48,2022,-1.3071,2305
48,2023,2.2902,2093
48,2024,2.8039,2555
49,2016,2.3911,118
49,2017,1.8246,105
49,2018,1.7439,60
49,2019,1.8495,25
49,2020,2.5088,159
49,2021,2.2773,177
49,2022,-3.373,135
49,2023,1.6085,186
49,2024,2.2455,381
56,2016,2.2898,6284
56,2017,6.2751,5872
56,2018,1.4981,3778
56,2019,5.4935,3305
56,2020,6.6394,7897
56,2021,6.7471,7244
56,2022,-5.0518,5933
56,2023,1.2018,8481
56,2024,2.0058,12635
57,2016,1.6804,13413
57,2017,3.7205,13064
57,2018,1.6893,11138
57,2019,3.1793,10526
57,2020,4.5625,15246
57,2021,4.6304,13950
57,2022,-1.586,11834
57,2023,0.6427,9468
57,2024,1.4231,12533
61,2016,1.7648,355
61,2017,1.6037,329
61,2018,1.2683,142
61,2019,1.4,128
61,2020,1.6347,396
61,2021,1.8477,398
61,2022,-2.1153,328
61,2023,0.872,815
61,2024,1.3906,1297
63,2016,1.1707,3750
63,2017,1.7176,3530
63,2018,0.9335,2333
63,2019,1.2977,2084
63,2020,3.3813,4670
63,2021,2.3806,3537
63,2022,-0.5264,2954
63,2023,0.7368,6717
63,2024,1.054,9589
65,2016,3.7606,5412
65,2017,6.5189,5120
65,2018,3.2522,3519
65,2019,5.394,3229
65,2020,6.4418,5747
65,2021,6.4635,5096
65,2022,-6.1842,4203
65,2023,2.0165,6376
65,2024,2.2062,9296
7,2016,1.367,1542
7,2017,1.0477,1428
7,2018,1.039,1047
7,2019,1.2072,576
7,2020,1.6678,945
7,2021,1.9915,1311
7,2022,-2.2279,1094
7,2023,1.308,2347
7,2024,1.4333,3550
8,2016,-1.02,53638
8,2017,0.7595,50398
8,2018,-0.1577,36205
8,2019,1.7492,31451
8,2020,2.4622,68263
8,2021,2.0164,57506
8,2022,-2.462,40658
8,2023,-0.1616,75927
8,2024,0.0886,105513
85,2016,0.0689,33205
85,2017,-0.0763,32140
85,2018,0.0791,25951
85,2019,-0.1474,24214
85,2020,-0.0058,31244
85,2021,0.0418,29579
85,2022,0.0228,26814
85,2023,0.0861,38767
85,2024,0.116,46719
9,2016,0.3868,74234
9,2017,0.0105,71845
9,2018,0.2019,59193
9,2019,0.1089,54633
9,2020,0.4078,73553
9,2021,0.5959,69653
9,2022,-0.4685,55397
9,2023,0.2471,74805
9,2024,0.296,98909
