model,y,x,term,coef,se_hc1,t_hc1,n,r2
m1_pre_harm,well_pre,gwe_pre,Intercept,28.494076651847124,12.117836472765257,2.3514161720111786,8,0.05805460247972971
m1_pre_harm,well_pre,gwe_pre,gwe_pre,-0.04821232488199614,0.04610270794271034,-1.045759067816739,8,0.05805460247972971
m2_income_wells_2021,well_total,inc_post,Intercept,3140.269251155422,2579.8726627828087,1.217218700929268,8,0.14979217367286424
m2_income_wells_2021,well_total,inc_post,inc_post,-0.04082155395300661,0.03767981951196614,-1.0833797635374218,8,0.14979217367286424
m3_small_loss_gw_change,small_loss,gwe_delta,Intercept,626.0345339386454,211.52855895889545,2.9595745227966943,8,0.020365591509995062
m3_small_loss_gw_change,small_loss,gwe_delta,gwe_delta,-0.13891879301766336,0.18958146987377714,-0.7327656711922064,8,0.020365591509995062
m4_pre_income_pre_wells,well_pre,inc_pre,Intercept,61.15485444093562,79.28177291490171,0.7713608335496875,8,0.016339284058054626
m4_pre_income_pre_wells,well_pre,inc_pre,inc_pre,-0.0008185156037187602,0.0016280403361197213,-0.502761255700589,8,0.016339284058054626
m5_fallow_change_gw_change,fallow_delta,gwe_delta,Intercept,-12997.15310996032,8929.32883037681,-1.4555576748103531,8,0.9511217766754915
m5_fallow_change_gw_change,fallow_delta,gwe_delta,gwe_delta,-173.62057862430476,7.577814054892368,-22.911696878100656,8,0.9511217766754915
m6_small_loss_fallow_change,small_loss,fallow_delta,Intercept,653.8913710611494,219.93349449485822,2.9731322760228163,8,0.045189854187341005
m6_small_loss_fallow_change,small_loss,fallow_delta,fallow_delta,0.001162384527604647,0.0012993888201589397,0.8945625124452475,8,0.045189854187341005
