GSP_ID,GSP_Name,Basin_ID,Basin_Name,Total_Ag_Acres,Fallow_Acres,N_Fields,N_Fallow_Fields,Fallow_Pct,Water_Year
38,,5-022,,13475.17,4593.77,235,108,34.09,2018
42,,5-022,,364792.87,208658.84,5525,2173,57.2,2018
43,,5-022,,122786.51,20371.13,5777,1065,16.59,2018
45,,5-022,,9272.66,718.53,237,18,7.75,2018
47,,5-022,,209700.02,27067.63,7464,1105,12.91,2018
48,,5-022,,12429.54,6972.71,263,129,56.1,2018
49,,5-022,,4057.45,779.39,61,10,19.21,2018
56,,5-022,,89129.43,45745.85,1812,831,51.33,2018
57,,5-022,,51484.67,26243.97,556,236,50.97,2018
61,,5-022,,8725.49,56.39,191,3,0.65,2018
63,,5-022,,64644.07,5850.63,2250,212,9.05,2018
65,,5-022,,55096.2,21481.61,1157,449,38.99,2018
67,,5-029,,949.26,177.74,11,3,18.72,2018
85,,5-022,,172378.15,18355.11,7673,1058,10.65,2018
110,,5-022,,275350.96,56860.39,11857,2751,20.65,2018
120,,5-022,,6650.29,1758.54,172,56,26.44,2018
122,,5-022,,118888.42,25482.87,2540,730,21.43,2018
123,,5-022,,37223.64,2177.48,870,59,5.85,2018
145,,5-022,,33155.42,10055.05,343,114,30.33,2018
160,,5-022,,128634.76,22632.23,3106,664,17.59,2018
164,,5-022,,96062.3,35547.05,2098,1028,37.0,2018
165,,5-022,,213395.91,72766.31,6962,2026,34.1,2018
166,,5-022,,101094.02,8964.43,8300,733,8.87,2018
167,,5-022,,596309.88,101168.39,13035,2206,16.97,2018
168,,5-022,,43652.71,18585.96,676,281,42.58,2018
169,,5-022,,21903.92,15088.2,160,106,68.88,2018
170,,5-022,,11913.89,1013.96,416,29,8.51,2018
171,,5-022,,3794.88,63.77,70,4,1.68,2018
172,,5-022,,137286.3,29750.45,2307,481,21.67,2018
173,,5-022,,136797.64,51730.54,1919,566,37.82,2018
7,,5-022,,26438.78,639.79,552,12,2.42,2019
8,,5-022,,564893.01,165465.76,6544,1865,29.29,2019
