cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2014,06019,1,Corn,22180,4932.7
2014,06019,2,Cotton,254109,56512.5
2014,06019,3,Rice,6648,1478.5
2014,06019,4,Sorghum,5577,1240.3
2014,06019,6,Sunflowers,3,0.7
2014,06019,21,Barley,58049,12909.8
2014,06019,22,Durum Wheat,40630,9035.9
2014,06019,23,Spring Wheat,1468,326.5
2014,06019,24,Winter Wheat,374288,83239.6
2014,06019,27,Rye,591,131.4
2014,06019,28,Oats,20936,4656.1
2014,06019,33,Safflower,4422,983.4
2014,06019,36,Alfalfa,423630,94213.0
2014,06019,37,Other Hay/Non Alfalfa,8568,1905.5
2014,06019,41,Sugarbeets,56,12.5
2014,06019,42,Dry Beans,38171,8489.0
2014,06019,43,Potatoes,26,5.8
2014,06019,44,Other Crops,162,36.0
2014,06019,47,Misc Vegs & Fruits,349,77.6
2014,06019,48,Watermelons,2946,655.2
2014,06019,49,Onions,55634,12372.7
2014,06019,53,Peas,360,80.1
2014,06019,54,Tomatoes,484518,107754.2
2014,06019,55,Caneberries,1,0.2
2014,06019,57,Herbs,11,2.4
2014,06019,58,Clover/Wildflowers,21,4.7
2014,06019,61,Fallow/Idle Cropland,1105231,245797.5
2014,06019,66,Cherries,3723,828.0
2014,06019,67,Peaches,4207,935.6
2014,06019,68,Apples,41,9.1
2014,06019,69,Grapes,1082449,240730.9
2014,06019,71,Other Tree Crops,4417,982.3
2014,06019,72,Citrus,7636,1698.2
2014,06019,74,Pecans,1604,356.7
2014,06019,75,Almonds,992844,220803.2
2014,06019,76,Walnuts,119016,26468.5
2014,06019,77,Pears,398,88.5
2014,06019,111,Open Water,136443,30344.2
2014,06019,112,Perennial Ice/Snow,1238,275.3
2014,06019,121,Developed/Open Space,403713,89783.6
2014,06019,122,Developed/Low Intensity,220342,49002.9
2014,06019,123,Developed/Medium Intensity,266076,59173.9
2014,06019,124,Developed/High Intensity,69195,15388.6
2014,06019,131,Barren,1120196,249125.6
2014,06019,141,Deciduous Forest,4146,922.0
2014,06019,142,Evergreen Forest,3642121,809988.2
2014,06019,143,Mixed Forest,101185,22503.0
2014,06019,152,Shrubland,2600072,578242.1
2014,06019,176,Grass/Pasture,2858700,635759.6
2014,06019,190,Woody Wetlands,10560,2348.5
2014,06019,195,Herbaceous Wetlands,13813,3071.9
2014,06019,204,Pistachios,231349,51450.8
2014,06019,205,Triticale,19868,4418.5
2014,06019,206,Carrots,1275,283.6
2014,06019,207,Asparagus,1525,339.2
2014,06019,208,Garlic,47790,10628.2
2014,06019,209,Cantaloupes,7059,1569.9
2014,06019,211,Olives,13339,2966.5
2014,06019,212,Oranges,240246,53429.4
2014,06019,213,Honeydew Melons,6186,1375.7
2014,06019,214,Broccoli,209,46.5
2014,06019,216,Peppers,419,93.2
2014,06019,217,Pomegranates,27438,6102.1
2014,06019,218,Nectarines,13833,3076.4
2014,06019,219,Greens,20,4.4
2014,06019,220,Plums,14160,3149.1
