cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2018,06019,1,Corn,43263,9621.5
2018,06019,2,Cotton,376719,83780.3
2018,06019,3,Rice,6593,1466.2
2018,06019,4,Sorghum,26039,5790.9
2018,06019,5,Soybeans,1,0.2
2018,06019,6,Sunflowers,41,9.1
2018,06019,21,Barley,4903,1090.4
2018,06019,22,Durum Wheat,829,184.4
2018,06019,23,Spring Wheat,2179,484.6
2018,06019,24,Winter Wheat,254406,56578.5
2018,06019,27,Rye,227,50.5
2018,06019,28,Oats,1914,425.7
2018,06019,33,Safflower,8572,1906.4
2018,06019,36,Alfalfa,219248,48759.6
2018,06019,37,Other Hay/Non Alfalfa,15633,3476.7
2018,06019,42,Dry Beans,45323,10079.6
2018,06019,43,Potatoes,139,30.9
2018,06019,44,Other Crops,137,30.5
2018,06019,46,Sweet Potatoes,23,5.1
2018,06019,47,Misc Vegs & Fruits,1205,268.0
2018,06019,48,Watermelons,10878,2419.2
2018,06019,49,Onions,54781,12183.0
2018,06019,50,Cucumbers,7,1.6
2018,06019,53,Peas,76,16.9
2018,06019,54,Tomatoes,372216,82778.8
2018,06019,57,Herbs,2788,620.0
2018,06019,58,Clover/Wildflowers,155,34.5
2018,06019,59,Sod/Grass Seed,111,24.7
2018,06019,61,Fallow/Idle Cropland,1228670,273249.6
2018,06019,66,Cherries,20918,4652.1
2018,06019,67,Peaches,34338,7636.6
2018,06019,68,Apples,3238,720.1
2018,06019,69,Grapes,850671,189184.7
2018,06019,71,Other Tree Crops,258361,57458.1
2018,06019,72,Citrus,131535,29252.7
2018,06019,74,Pecans,3231,718.6
2018,06019,75,Almonds,1013019,225290.0
2018,06019,76,Walnuts,42659,9487.1
2018,06019,77,Pears,4128,918.0
2018,06019,111,Open Water,152667,33952.3
2018,06019,112,Perennial Ice/Snow,3460,769.5
2018,06019,121,Developed/Open Space,423621,94211.0
2018,06019,122,Developed/Low Intensity,222615,49508.4
2018,06019,123,Developed/Medium Intensity,267199,59423.6
2018,06019,124,Developed/High Intensity,67591,15031.9
2018,06019,131,Barren,1217836,270840.2
2018,06019,141,Deciduous Forest,7052,1568.3
2018,06019,142,Evergreen Forest,3637038,808857.8
2018,06019,143,Mixed Forest,116314,25867.6
2018,06019,152,Shrubland,2928392,651258.7
2018,06019,176,Grass/Pasture,2298517,511177.9
2018,06019,190,Woody Wetlands,21066,4685.0
2018,06019,195,Herbaceous Wetlands,23230,5166.2
2018,06019,204,Pistachios,427624,95101.3
2018,06019,205,Triticale,10948,2434.8
2018,06019,206,Carrots,2830,629.4
2018,06019,208,Garlic,73769,16405.8
2018,06019,209,Cantaloupes,38398,8539.5
2018,06019,211,Olives,7787,1731.8
2018,06019,212,Oranges,74941,16666.5
2018,06019,213,Honeydew Melons,11947,2656.9
2018,06019,214,Broccoli,980,217.9
2018,06019,216,Peppers,452,100.5
2018,06019,217,Pomegranates,31978,7111.7
2018,06019,218,Nectarines,35551,7906.4
2018,06019,219,Greens,17,3.8
2018,06019,220,Plums,10317,2294.4
2018,06019,221,Strawberries,114,25.4
2018,06019,222,Squash,3,0.7
2018,06019,225,Dbl Crop WinWht/Corn,104771,23300.5
2018,06019,226,Dbl Crop Oats/Corn,1656,368.3
2018,06019,227,Lettuce,22750,5059.5
2018,06019,236,Dbl Crop WinWht/Sorghum,11158,2481.5
2018,06019,237,Dbl Crop Barley/Corn,38,8.5
2018,06019,238,Dbl Crop WinWht/Cotton,670,149.0
2018,06019,242,Blueberries,24036,5345.5
2018,06019,244,Cauliflower,4,0.9
2018,06019,246,Radishes,19,4.2
2018,06029,1,Corn,54745,12175.0
2018,06029,2,Cotton,129619,28826.6
2018,06029,3,Rice,5,1.1
2018,06029,4,Sorghum,10192,2266.6
2018,06029,6,Sunflowers,37,8.2
2018,06029,21,Barley,15332,3409.8
2018,06029,22,Durum Wheat,1225,272.4
2018,06029,23,Spring Wheat,346,76.9
