cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2012,06019,1,Corn,44380,9869.9
2012,06019,2,Cotton,520608,115780.4
2012,06019,3,Rice,11910,2648.7
2012,06019,4,Sorghum,6924,1539.9
2012,06019,12,Sweet Corn,9372,2084.3
2012,06019,21,Barley,83790,18634.4
2012,06019,22,Durum Wheat,84335,18755.7
2012,06019,23,Spring Wheat,656,145.9
2012,06019,24,Winter Wheat,461693,102678.1
2012,06019,27,Rye,36,8.0
2012,06019,28,Oats,19998,4447.4
2012,06019,33,Safflower,7667,1705.1
2012,06019,36,Alfalfa,397620,88428.6
2012,06019,37,Other Hay/Non Alfalfa,21833,4855.5
2012,06019,38,Camelina,79,17.6
2012,06019,41,Sugarbeets,1,0.2
2012,06019,42,Dry Beans,22007,4894.2
2012,06019,43,Potatoes,539,119.9
2012,06019,44,Other Crops,229,50.9
2012,06019,46,Sweet Potatoes,3,0.7
2012,06019,47,Misc Vegs & Fruits,774,172.1
2012,06019,48,Watermelons,7514,1671.1
2012,06019,49,Onions,75104,16702.7
2012,06019,53,Peas,677,150.6
2012,06019,54,Tomatoes,508307,113044.8
2012,06019,57,Herbs,3761,836.4
2012,06019,58,Clover/Wildflowers,5,1.1
2012,06019,61,Fallow/Idle Cropland,904563,201170.0
2012,06019,66,Cherries,8243,1833.2
2012,06019,67,Peaches,6956,1547.0
2012,06019,68,Apples,801,178.1
2012,06019,69,Grapes,969336,215575.1
2012,06019,71,Other Tree Crops,4652,1034.6
2012,06019,72,Citrus,1856,412.8
2012,06019,74,Pecans,33,7.3
2012,06019,75,Almonds,1024373,227815.1
2012,06019,76,Walnuts,80860,17982.8
2012,06019,77,Pears,5,1.1
2012,06019,111,Open Water,144273,32085.5
2012,06019,112,Perennial Ice/Snow,4041,898.7
2012,06019,121,Developed/Open Space,446331,99261.6
2012,06019,122,Developed/Low Intensity,217750,48426.4
2012,06019,123,Developed/Medium Intensity,227981,50701.8
2012,06019,124,Developed/High Intensity,58973,13115.3
2012,06019,131,Barren,1144158,254454.6
2012,06019,141,Deciduous Forest,8315,1849.2
2012,06019,142,Evergreen Forest,3718607,826998.3
2012,06019,143,Mixed Forest,112572,25035.4
2012,06019,152,Shrubland,2468028,548876.2
2012,06019,176,Grass/Pasture,2902274,645450.2
2012,06019,190,Woody Wetlands,18426,4097.8
2012,06019,195,Herbaceous Wetlands,20112,4472.8
2012,06019,204,Pistachios,197266,43870.9
2012,06019,205,Triticale,8562,1904.1
2012,06019,206,Carrots,1860,413.7
2012,06019,207,Asparagus,2,0.4
2012,06019,208,Garlic,44975,10002.2
2012,06019,209,Cantaloupes,27830,6189.2
2012,06019,211,Olives,24509,5450.7
2012,06019,212,Oranges,41572,9245.4
2012,06019,213,Honeydew Melons,9731,2164.1
2012,06019,214,Broccoli,3442,765.5
2012,06019,216,Peppers,1587,352.9
2012,06019,217,Pomegranates,36690,8159.7
2012,06019,218,Nectarines,903,200.8
2012,06019,219,Greens,2052,456.4
2012,06019,220,Plums,9117,2027.6
2012,06019,221,Strawberries,1,0.2
2012,06019,223,Apricots,565,125.7
2012,06019,225,Dbl Crop WinWht/Corn,52823,11747.6
2012,06019,226,Dbl Crop Oats/Corn,18578,4131.6
2012,06019,227,Lettuce,39403,8763.0
2012,06019,229,Pumpkins,19,4.2
2012,06019,231,Dbl Crop Lettuce/Cantaloupe,1194,265.5
2012,06019,235,Dbl Crop Barley/Sorghum,1428,317.6
2012,06019,236,Dbl Crop WinWht/Sorghum,7626,1696.0
2012,06019,237,Dbl Crop Barley/Corn,2533,563.3
2012,06019,238,Dbl Crop WinWht/Cotton,198,44.0
2012,06019,242,Blueberries,721,160.3
2012,06019,244,Cauliflower,2,0.4
2012,06029,1,Corn,71924,15995.5
2012,06029,2,Cotton,314990,70052.1
2012,06029,3,Rice,3,0.7
2012,06029,4,Sorghum,12017,2672.5
2012,06029,12,Sweet Corn,21,4.7
2012,06029,21,Barley,23548,5236.9
2012,06029,22,Durum Wheat,224,49.8
2012,06029,24,Winter Wheat,181243,40307.5
2012,06029,27,Rye,34,7.6
2012,06029,28,Oats,53684,11939.0
2012,06029,33,Safflower,10044,2233.7
2012,06029,36,Alfalfa,420264,93464.5
2012,06029,37,Other Hay/Non Alfalfa,6373,1417.3
2012,06029,38,Camelina,9876,2196.4
2012,06029,42,Dry Beans,2518,560.0
2012,06029,43,Potatoes,66382,14763.0
2012,06029,44,Other Crops,1755,390.3
2012,06029,47,Misc Vegs & Fruits,883,196.4
2012,06029,48,Watermelons,5622,1250.3
2012,06029,49,Onions,25105,5583.2
2012,06029,53,Peas,5313,1181.6
2012,06029,54,Tomatoes,54789,12184.8
2012,06029,57,Herbs,27,6.0
2012,06029,59,Sod/Grass Seed,89,19.8
2012,06029,61,Fallow/Idle Cropland,1662947,369830.5
2012,06029,66,Cherries,27092,6025.1
2012,06029,67,Peaches,564,125.4
2012,06029,68,Apples,6521,1450.2
2012,06029,69,Grapes,337194,74990.1
2012,06029,71,Other Tree Crops,2549,566.9
2012,06029,72,Citrus,21996,4891.8
2012,06029,74,Pecans,168,37.4
2012,06029,75,Almonds,989507,220061.1
2012,06029,76,Walnuts,9374,2084.7
2012,06029,77,Pears,17,3.8
2012,06029,111,Open Water,64826,14417.0
2012,06029,121,Developed/Open Space,780900,173668.0
2012,06029,122,Developed/Low Intensity,257267,57214.8
2012,06029,123,Developed/Medium Intensity,242087,53838.9
2012,06029,124,Developed/High Intensity,47959,10665.8
2012,06029,131,Barren,1025877,228149.6
2012,06029,141,Deciduous Forest,104976,23346.1
2012,06029,142,Evergreen Forest,1277664,284145.6
2012,06029,143,Mixed Forest,29045,6459.5
2012,06029,152,Shrubland,9095518,2022794.5
2012,06029,176,Grass/Pasture,5570166,1238775.1
2012,06029,190,Woody Wetlands,9418,2094.5
2012,06029,195,Herbaceous Wetlands,20261,4505.9
2012,06029,204,Pistachios,292370,65021.5
2012,06029,205,Triticale,6464,1437.6
2012,06029,206,Carrots,21256,4727.2
2012,06029,207,Asparagus,1194,265.5
2012,06029,208,Garlic,10396,2312.0
2012,06029,209,Cantaloupes,2274,505.7
2012,06029,211,Olives,2035,452.6
2012,06029,212,Oranges,114158,25388.1
2012,06029,213,Honeydew Melons,46,10.2
2012,06029,214,Broccoli,292,64.9
2012,06029,216,Peppers,11379,2530.6
2012,06029,217,Pomegranates,22440,4990.5
2012,06029,218,Nectarines,1414,314.5
2012,06029,220,Plums,513,114.1
2012,06029,221,Strawberries,1,0.2
2012,06029,222,Squash,14,3.1
2012,06029,223,Apricots,308,68.5
2012,06029,225,Dbl Crop WinWht/Corn,117961,26233.9
2012,06029,226,Dbl Crop Oats/Corn,1844,410.1
2012,06029,227,Lettuce,498,110.8
2012,06029,229,Pumpkins,2,0.4
2012,06029,235,Dbl Crop Barley/Sorghum,2364,525.7
2012,06029,236,Dbl Crop WinWht/Sorghum,25090,5579.9
2012,06029,237,Dbl Crop Barley/Corn,385,85.6
2012,06029,242,Blueberries,319,70.9
2012,06029,243,Cabbage,1036,230.4
2012,06029,244,Cauliflower,1,0.2
2012,06031,1,Corn,71142,15821.6
2012,06031,2,Cotton,509474,113304.3
2012,06031,3,Rice,3,0.7
2012,06031,4,Sorghum,4181,929.8
2012,06031,12,Sweet Corn,5,1.1
2012,06031,21,Barley,47803,10631.1
2012,06031,22,Durum Wheat,37259,8286.2
2012,06031,23,Spring Wheat,1,0.2
2012,06031,24,Winter Wheat,306817,68234.5
2012,06031,27,Rye,2049,455.7
2012,06031,28,Oats,9129,2030.2
2012,06031,33,Safflower,94074,20921.6
2012,06031,36,Alfalfa,277534,61722.1
2012,06031,37,Other Hay/Non Alfalfa,4579,1018.3
2012,06031,38,Camelina,19,4.2
2012,06031,41,Sugarbeets,261,58.0
2012,06031,42,Dry Beans,2910,647.2
2012,06031,43,Potatoes,1,0.2
2012,06031,44,Other Crops,62,13.8
2012,06031,47,Misc Vegs & Fruits,30,6.7
2012,06031,48,Watermelons,9,2.0
2012,06031,49,Onions,12266,2727.9
2012,06031,53,Peas,194,43.1
2012,06031,54,Tomatoes,147201,32736.7
2012,06031,57,Herbs,892,198.4
2012,06031,61,Fallow/Idle Cropland,890662,198078.5
2012,06031,66,Cherries,1035,230.2
2012,06031,67,Peaches,2254,501.3
2012,06031,68,Apples,322,71.6
2012,06031,69,Grapes,65261,14513.7
2012,06031,71,Other Tree Crops,694,154.3
2012,06031,72,Citrus,11,2.4
2012,06031,74,Pecans,108,24.0
2012,06031,75,Almonds,124135,27607.0
2012,06031,76,Walnuts,71650,15934.6
2012,06031,111,Open Water,50597,11252.5
2012,06031,121,Developed/Open Space,104045,23139.1
2012,06031,122,Developed/Low Intensity,45741,10172.6
2012,06031,123,Developed/Medium Intensity,56751,12621.1
2012,06031,124,Developed/High Intensity,12644,2812.0
2012,06031,131,Barren,20754,4615.6
2012,06031,141,Deciduous Forest,4,0.9
2012,06031,142,Evergreen Forest,42,9.3
2012,06031,143,Mixed Forest,9546,2123.0
2012,06031,152,Shrubland,72629,16152.3
2012,06031,176,Grass/Pasture,613543,136448.7
2012,06031,190,Woody Wetlands,532,118.3
2012,06031,195,Herbaceous Wetlands,1755,390.3
2012,06031,204,Pistachios,110413,24555.3
2012,06031,205,Triticale,12290,2733.2
2012,06031,206,Carrots,406,90.3
2012,06031,208,Garlic,8952,1990.9
2012,06031,209,Cantaloupes,3299,733.7
2012,06031,211,Olives,1384,307.8
2012,06031,212,Oranges,140,31.1
2012,06031,213,Honeydew Melons,154,34.2
2012,06031,214,Broccoli,2,0.4
2012,06031,216,Peppers,6,1.3
2012,06031,217,Pomegranates,7370,1639.0
2012,06031,218,Nectarines,310,68.9
2012,06031,219,Greens,7,1.6
2012,06031,220,Plums,1038,230.8
2012,06031,223,Apricots,256,56.9
2012,06031,225,Dbl Crop WinWht/Corn,145670,32396.2
2012,06031,226,Dbl Crop Oats/Corn,3269,727.0
2012,06031,227,Lettuce,1294,287.8
2012,06031,231,Dbl Crop Lettuce/Cantaloupe,2,0.4
2012,06031,235,Dbl Crop Barley/Sorghum,1052,234.0
2012,06031,236,Dbl Crop WinWht/Sorghum,29754,6617.1
2012,06031,237,Dbl Crop Barley/Corn,3200,711.7
2012,06031,238,Dbl Crop WinWht/Cotton,322,71.6
2012,06031,242,Blueberries,904,201.0
2012,06031,244,Cauliflower,101,22.5
2012,06039,1,Corn,8914,1982.4
2012,06039,2,Cotton,7836,1742.7
2012,06039,3,Rice,35,7.8
2012,06039,4,Sorghum,9,2.0
2012,06039,12,Sweet Corn,6,1.3
2012,06039,21,Barley,2299,511.3
2012,06039,22,Durum Wheat,341,75.8
2012,06039,23,Spring Wheat,98,21.8
2012,06039,24,Winter Wheat,96766,21520.2
2012,06039,28,Oats,41801,9296.3
2012,06039,33,Safflower,2804,623.6
2012,06039,36,Alfalfa,141094,31378.6
2012,06039,37,Other Hay/Non Alfalfa,18383,4088.3
2012,06039,42,Dry Beans,134,29.8
2012,06039,44,Other Crops,45,10.0
2012,06039,47,Misc Vegs & Fruits,3,0.7
2012,06039,48,Watermelons,3,0.7
2012,06039,49,Onions,569,126.5
2012,06039,53,Peas,256,56.9
2012,06039,54,Tomatoes,17896,3980.0
2012,06039,57,Herbs,14,3.1
2012,06039,58,Clover/Wildflowers,1,0.2
2012,06039,61,Fallow/Idle Cropland,83189,18500.8
2012,06039,66,Cherries,816,181.5
2012,06039,67,Peaches,1028,228.6
2012,06039,68,Apples,6,1.3
2012,06039,69,Grapes,414101,92093.8
2012,06039,71,Other Tree Crops,123,27.4
2012,06039,72,Citrus,3,0.7
2012,06039,74,Pecans,7,1.6
2012,06039,75,Almonds,693181,154159.7
2012,06039,76,Walnuts,4102,912.3
2012,06039,111,Open Water,40834,9081.3
2012,06039,112,Perennial Ice/Snow,1909,424.6
2012,06039,121,Developed/Open Space,135289,30087.5
2012,06039,122,Developed/Low Intensity,27058,6017.6
2012,06039,123,Developed/Medium Intensity,19122,4252.6
2012,06039,124,Developed/High Intensity,4396,977.6
2012,06039,131,Barren,240038,53383.2
2012,06039,141,Deciduous Forest,69004,15346.1
2012,06039,142,Evergreen Forest,1956387,435090.0
2012,06039,143,Mixed Forest,110,24.5
2012,06039,152,Shrubland,646652,143811.9
2012,06039,176,Grass/Pasture,1376508,306128.0
2012,06039,190,Woody Wetlands,3808,846.9
2012,06039,195,Herbaceous Wetlands,2805,623.8
2012,06039,204,Pistachios,96757,21518.2
2012,06039,205,Triticale,559,124.3
2012,06039,206,Carrots,3613,803.5
2012,06039,208,Garlic,221,49.1
2012,06039,209,Cantaloupes,48,10.7
2012,06039,211,Olives,3686,819.7
2012,06039,212,Oranges,15,3.3
2012,06039,213,Honeydew Melons,3,0.7
2012,06039,214,Broccoli,1,0.2
2012,06039,216,Peppers,6,1.3
2012,06039,217,Pomegranates,1112,247.3
2012,06039,218,Nectarines,3,0.7
2012,06039,219,Greens,1,0.2
2012,06039,220,Plums,1180,262.4
2012,06039,221,Strawberries,1,0.2
2012,06039,223,Apricots,20,4.4
2012,06039,225,Dbl Crop WinWht/Corn,19768,4396.3
2012,06039,226,Dbl Crop Oats/Corn,8897,1978.6
2012,06039,227,Lettuce,42,9.3
2012,06039,235,Dbl Crop Barley/Sorghum,4,0.9
2012,06039,236,Dbl Crop WinWht/Sorghum,14,3.1
2012,06039,237,Dbl Crop Barley/Corn,23,5.1
2012,06039,238,Dbl Crop WinWht/Cotton,2,0.4
2012,06039,242,Blueberries,41,9.1
2012,06047,1,Corn,113152,25164.4
2012,06047,2,Cotton,246495,54819.2
2012,06047,3,Rice,10446,2323.1
2012,06047,4,Sorghum,574,127.7
2012,06047,12,Sweet Corn,74,16.5
2012,06047,21,Barley,18496,4113.4
2012,06047,22,Durum Wheat,3290,731.7
2012,06047,23,Spring Wheat,968,215.3
2012,06047,24,Winter Wheat,143057,31815.1
2012,06047,27,Rye,697,155.0
2012,06047,28,Oats,131831,29318.5
2012,06047,33,Safflower,3736,830.9
2012,06047,36,Alfalfa,482051,107205.6
2012,06047,37,Other Hay/Non Alfalfa,43534,9681.7
2012,06047,38,Camelina,2086,463.9
