NAME,state_fips,county_fips,county_fips5,B19013_001E,B17001_002E,B03003_003E,B01003_001E
"Fresno County, California",06,019,06019,61276,198793,541344,1003150
"Kern County, California",06,029,06029,58824,169289,495742,905644
"Kings County, California",06,031,06031,63267,22449,84369,151887
"Madera County, California",06,039,06039,66709,28921,92400,156304
"Merced County, California",06,047,06047,58861,52771,170730,279150
"San Joaquin County, California",06,077,06077,74962,101951,326185,771406
"Stanislaus County, California",06,099,06099,68368,74272,264020,550842
"Tulare County, California",06,107,06107,57394,91866,309737,470999
